Grade,Race,SPED,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level
7.0,B,,14.0,30.0,Not Met
7.0,H,,14.0,30.0,Not Met
7.0,H,,13.0,28.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,B,,11.0,24.0,Not Met
7.0,B,,11.0,24.0,Not Met
7.0,B,Y,10.0,22.0,Not Met
7.0,H,,10.0,22.0,Not Met
7.0,H,,10.0,22.0,Not Met
7.0,H,,9.0,20.0,Not Met
7.0,H,,9.0,20.0,Not Met
7.0,H,,8.0,17.0,Not Met
7.0,H,,41.0,89.0,Masters
7.0,H,,31.0,67.0,Meets
7.0,H,,29.0,63.0,Meets
7.0,H,,23.0,50.0,Appr
7.0,H,,23.0,50.0,Appr
7.0,B,,22.0,48.0,Appr
7.0,H,,22.0,48.0,Appr
7.0,B,,20.0,43.0,Appr
7.0,H,,17.0,37.0,Not Met
7.0,H,,16.0,35.0,Not Met
7.0,H,,15.0,33.0,Not Met
7.0,H,,13.0,28.0,Not Met
7.0,H,,13.0,28.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,H,,11.0,24.0,Not Met
7.0,H,,11.0,24.0,Not Met
7.0,B,,10.0,22.0,Not Met
7.0,H,,10.0,22.0,Not Met
7.0,W,,10.0,22.0,Not Met
7.0,H,,9.0,20.0,Not Met
7.0,H,,8.0,17.0,Not Met
7.0,W,,4.0,9.0,Not Met
7.0,H,Y,40.0,87.0,Masters
7.0,H,,35.0,76.0,Meets
7.0,H,,35.0,76.0,Meets
7.0,H,,31.0,67.0,Meets
7.0,W,,26.0,57.0,Appr
7.0,T,,20.0,43.0,Appr
7.0,H,,19.0,41.0,Not Met
7.0,H,,18.0,39.0,Not Met
7.0,H,,17.0,37.0,Not Met
7.0,H,,17.0,37.0,Not Met
7.0,H,,17.0,37.0,Not Met
7.0,B,,15.0,33.0,Not Met
7.0,H,,14.0,30.0,Not Met
